Project,subject_id,Hemisphere,Surface Type,Hausdorff Distance,ASSD,Chamfer Distance,Self-Intersection A_mwrm,Total Triangles A_mwrm,Colored CA VTK Path
freesurfer,263436,lh,white,NA,NA,NA,0,269716,NA
freesurfer,257845,lh,white,NA,NA,NA,0,270686,NA
freesurfer,268850,lh,white,NA,NA,NA,0,253701,NA
freesurfer,290136,lh,pial,NA,NA,NA,17,273785,NA
freesurfer,287248,lh,pial,NA,NA,NA,16,275252,NA
freesurfer,275645,lh,white,NA,NA,NA,0,233962,NA
freesurfer,298455,lh,pial,NA,NA,NA,14,266618,NA
freesurfer,250932,rh,white,NA,NA,NA,0,234766,NA
freesurfer,280739,lh,white,NA,NA,NA,0,231055,NA
freesurfer,299154,lh,pial,NA,NA,NA,7,283456,NA
freesurfer,298051,lh,pial,NA,NA,NA,12,287066,NA
freesurfer,255639,rh,pial,NA,NA,NA,5,224553,NA
freesurfer,251833,rh,pial,NA,NA,NA,27,291623,NA
freesurfer,268749,lh,white,NA,NA,NA,0,302793,NA
freesurfer,285345,lh,white,NA,NA,NA,0,233671,NA
freesurfer,280941,lh,white,NA,NA,NA,0,258973,NA
freesurfer,283543,lh,white,NA,NA,NA,0,261353,NA
freesurfer,297655,lh,white,NA,NA,NA,0,204343,NA
freesurfer,289555,lh,white,NA,NA,NA,0,206942,NA
freesurfer,293748,lh,white,NA,NA,NA,0,214421,NA
freesurfer,284646,lh,white,NA,NA,NA,0,256308,NA
freesurfer,256540,rh,pial,NA,NA,NA,26,242873,NA
freesurfer,295146,lh,white,NA,NA,NA,0,237706,NA
freesurfer,270332,lh,white,NA,NA,NA,0,333149,NA
freesurfer,257542,rh,pial,NA,NA,NA,24,260928,NA
freesurfer,286650,lh,white,NA,NA,NA,0,274944,NA
freesurfer,285446,lh,white,NA,NA,NA,4,275771,NA
freesurfer,268850,rh,pial,NA,NA,NA,13,251528,NA
freesurfer,275645,rh,pial,NA,NA,NA,15,234405,NA
freesurfer,257845,rh,pial,NA,NA,NA,12,266591,NA
freesurfer,263436,rh,pial,NA,NA,NA,28,268964,NA
freesurfer,290136,lh,white,NA,NA,NA,0,272443,NA
freesurfer,280739,rh,pial,NA,NA,NA,23,229793,NA
freesurfer,287248,lh,white,NA,NA,NA,0,274739,NA
freesurfer,255639,rh,white,NA,NA,NA,2,225215,NA
freesurfer,298455,lh,white,NA,NA,NA,0,265328,NA
freesurfer,297655,rh,pial,NA,NA,NA,7,203931,NA
freesurfer,299154,lh,white,NA,NA,NA,0,283271,NA
freesurfer,285345,rh,pial,NA,NA,NA,13,235458,NA
freesurfer,298051,lh,white,NA,NA,NA,0,286687,NA
freesurfer,289555,rh,pial,NA,NA,NA,8,208183,NA
freesurfer,293748,rh,pial,NA,NA,NA,4,207766,NA
freesurfer,251833,rh,white,NA,NA,NA,0,292075,NA
freesurfer,280941,rh,pial,NA,NA,NA,16,252580,NA
freesurfer,283543,rh,pial,NA,NA,NA,15,262705,NA
freesurfer,268749,rh,pial,NA,NA,NA,21,309552,NA
freesurfer,256540,rh,white,NA,NA,NA,2,243159,NA
freesurfer,284646,rh,pial,NA,NA,NA,18,261721,NA
freesurfer,295146,rh,pial,NA,NA,NA,44,237574,NA
freesurfer,257542,rh,white,NA,NA,NA,0,261467,NA
freesurfer,275645,rh,white,NA,NA,NA,0,234724,NA
freesurfer,268850,rh,white,NA,NA,NA,0,252144,NA
freesurfer,280739,rh,white,NA,NA,NA,0,230294,NA
freesurfer,257845,rh,white,NA,NA,NA,0,267662,NA
freesurfer,286650,rh,pial,NA,NA,NA,4,273412,NA
freesurfer,263436,rh,white,NA,NA,NA,0,269467,NA
freesurfer,285446,rh,pial,NA,NA,NA,25,277987,NA
freesurfer,290136,rh,pial,NA,NA,NA,16,275195,NA
freesurfer,297655,rh,white,NA,NA,NA,0,203993,NA
freesurfer,270332,rh,pial,NA,NA,NA,25,335623,NA
freesurfer,289555,rh,white,NA,NA,NA,0,208321,NA
freesurfer,287248,rh,pial,NA,NA,NA,35,272145,NA
freesurfer,293748,rh,white,NA,NA,NA,0,207924,NA
freesurfer,285345,rh,white,NA,NA,NA,0,235613,NA
freesurfer,298455,rh,pial,NA,NA,NA,11,263664,NA
freesurfer,299154,rh,pial,NA,NA,NA,17,278724,NA
freesurfer,280941,rh,white,NA,NA,NA,0,254494,NA
freesurfer,298051,rh,pial,NA,NA,NA,16,292313,NA
freesurfer,283543,rh,white,NA,NA,NA,0,263580,NA
freesurfer,295146,rh,white,NA,NA,NA,0,238248,NA
freesurfer,284646,rh,white,NA,NA,NA,0,261268,NA
freesurfer,268749,rh,white,NA,NA,NA,0,309417,NA
freesurfer,286650,rh,white,NA,NA,NA,0,275033,NA
freesurfer,285446,rh,white,NA,NA,NA,0,278772,NA
freesurfer,290136,rh,white,NA,NA,NA,0,275064,NA
freesurfer,287248,rh,white,NA,NA,NA,11,272329,NA
freesurfer,298455,rh,white,NA,NA,NA,0,264312,NA
freesurfer,270332,rh,white,NA,NA,NA,0,336202,NA
freesurfer,299154,rh,white,NA,NA,NA,0,278989,NA
freesurfer,298051,rh,white,NA,NA,NA,0,292133,NA
